,headline,data,ID
rank1,"RT @NickW2389: I love Pizza, and I love Bitcoin. #BTC #Pizza",2018-07-19 14:35:13,2714795
rank2,RT @Truthbot1666: Love it #xrparmy will love it #xrp #ripple $XRP,2018-05-22 09:15:38,2006536
rank3,Love BTC love LTC,2018-02-27 14:38:49,766921
rank4,Read what you love until you love to read.,2018-06-09 01:17:00,2240456
rank5,RT @TanemJale: Bi anlk atalm #iyibilgi #vippartner #ataehirescort#escortatasehir #stanbulescort #anadoluyakasiescort#analescor,2018-05-31 02:06:10,22718
